#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,"General Relief, TANF, State/Local Health Insurance Programs, Food Stamps/SNAP, State Government Agencies/Departments, , ","General Relief, TANF, State/Local Health Insurance Programs, Food Stamps/SNAP, State Government Agencies/Departments, , ", State of California Department of Human Services,916-651-8848,744 P StreetSacramento,Sacramento,CA,95814,"General Relief, TANF, State/Local Health Insurance Programs, Food Stamps/SNAP, State Government Agencies/Departments, , ",916-651-8848,http://www.dhcs.ca.gov/Pages/default.aspx,Open to the public ,"DescriptionOffers various services for individuals: Medi-Cal/Denti-Cal enrollment, free health screenings, family planning services, mental health, foster care, resources for children with special medical conditions and seniors needing personal care.",John A. Wagner                                    Director                                          ,piar@dss.ca.gov
California,", ",", ", Stay Focused Mentoring Programs,661-322-4373,1225 California AvenueBakersfield,Bakersfield,CA,93304,", ",661-322-4373,http://stayfocused.org/,At risk youth ,"DescriptionProvides individual or group mentoring services to youth identified as high risk, at risk and gang involved, training sessions for youth released from incarceration, calls to the homes of youths in the training program to stay involved and connected, community based mentoring and partnership with organizations to provide opportunities for attendance at athletic events and socialization, outreach events including neighborhood rallies and summits, and gang awareness training for parents, school staff, and community members, workshops in neighborhoods with the use of the youth intervention specialists, school assemblies and on-campus mentoring programs in elementary, middle and high schools throughout Kern County and gang prevention program Project 180.",Liz Carrizalez                                    Director                                          ,info@stayfocused.org
California,", ",", ", Stockdale Learning Center,N/A,1701 Westwind Drive,N/A,CA,93301,", ",N/A,http://www.learnnowslc.com,"Open to the public, living with a learning disability diagnosed or undiagnosed  ","DescriptionProgram provides teacher in-services training, private counseling in relation to a learning disability, a state certified therapy clinic designed to diagnose and assess the cause for reading and academic underachievement, educational advocacy, consultation and workshops are also available. Small group as well as individual instruction is available.","Andrew J. Barling, M.A.                           Founder / Director                                661-331-2373",slc@igalaxy.net
California,"Special Education Assessment, Student Disability Services, Developmental Assessment, , ","Special Education Assessment, Student Disability Services, Developmental Assessment, , ", Stockdale Learning Center,661-326-8084,1701 Westwind Drive,N/A,CA,93301,"Special Education Assessment, Student Disability Services, Developmental Assessment, , ",661-326-8084,http://www.learnnowslc.com,"Open to the public, living with a learning disability diagnosed or undiagnosed, dyslexia ","DescriptionProgram provides teacher in-services training, private counseling in relation to a learning disability, a state certified therapy clinic designed to diagnose and assess the cause for reading and academic underachievement, educational advocacy, consultation and workshops are also available. Small group as well as individual instruction is available.",N/A,N/A
California,"Food Pantries, Meals, , ","Food Pantries, Meals, , ", Sunshine Church Pentecostal of God,N/A,515 Roberts LaneBakersfield,Bakersfield,CA,93308,"Food Pantries, Meals, , ",N/A,http://www.capk.org/,Open to the public ,DescriptionProvides a food distribution site.,N/A,N/A
California,"Independent Living Skills Instruction, Developmental Disabilities, , ","Independent Living Skills Instruction, Developmental Disabilities, , ", Supported Living Services,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Independent Living Skills Instruction, Developmental Disabilities, , ",661-834-2272,http://barc-inc.org/programs/supported-living-services/,Developmentally disabled adults ,"Description Assists with transitioning to an independent life, including instruction on leasing an apartment, cooking, cleaning, laundry, budget, mobility, public transportation and problem solving skills.",,pkyle@barc-inc.org
California,"Computer and Related Technology Classes, Public Internet Access Sites, Public Libraries, , ","Computer and Related Technology Classes, Public Internet Access Sites, Public Libraries, , ", Taft Branch Library,N/A,27 Cougar CourtTaft,Taft,CA,93268,"Computer and Related Technology Classes, Public Internet Access Sites, Public Libraries, , ",N/A,http://www.kerncountylibrary.org,Open to the public. ,"Description Program services include bookmobiles, interlibrary loan, on-line public catalog, typewriters and computers for public use, CD-ROM technology databases covering a variety of specialized subjects, complete children's services including story hours and dial-a-story and library tours for groups and services for visually and hearing impaired users.",Andie SullivanDirector of Libraries661-868-0701,info@kerncountylibrary.org
California,", ",", ", Taft City School District,N/A,820 Sixth StreetTaft,Taft,CA,93268,", ",N/A,http://www.taftcityschools.com,Open to the public ,DescriptionProvides general information regarding administration and programs for district schools located in Taft.,Ron Bryant                                      Superintendent                                    ,jgraves@taftcity.org
California,", ",", ", Taft College,661-763-7748,29 Cougar CtTaft,Taft,CA,93268,", ",661-763-7748,http://www.taftcollege.edu,Open to the public ,"DescriptionOffers a textbook rental program, free parking, gas vouchers and scholarship programs with cost effective educational options.",Dr. Dena P. Maloney                     Superintendent-President                                      ,garcia@taft.org
California,"Community Colleges, , ","Community Colleges, , ", Taft College,661-763-7700,29 Cougar CtTaft,CtTaft,CA,93268,"Community Colleges, , ",661-763-7700,http://www.taftcollege.edu,Open to the public ,"Description Offers a textbook rental program, free parking, gas vouchers and scholarship programs with cost effective educational options.",Dr. Dena P. Maloney                              Superintendent-President                                    ,garcia@taft.org
California,"General Dentistry, , ","General Dentistry, , ", Taft College Dental Hygiene Program,661-763-7706,29 Cougar CtTaft,CtTaft,CA,93268,"General Dentistry, , ",661-763-7706,http://www.taftcollege.edu,Open to the public ,"Description Provides a two-year, full-time course of study to obtain an associates degree in science and dental hygiene. The program is designed to prepare students to provide preventive, educational, and therapeutic services in oral health. Program provides free treatment to the students, faculty and staff at Taft College. Services to the public include: oral cancer screening, patient education, complete cleaning, fluoride treatment, X-rays, sealant and impressions.  ",Dr. Stacy Eastman                                 DDS                                               6613273577,N/A
California,"Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, WIC, , ","Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, WIC, , ", Taft Community Medical and Dental Center,661-765-5044,1100 Fourth StreetTaft,Taft,CA,93268,"Teen Family Planning Programs, Prenatal Care, General Sexuality/Reproductive Health Education, Community Clinics, General Dentistry, WIC, , ",661-765-5044,http://omnifamilyhealth.org/,Open to the public ,"Description Provides clinic medical care and dental services. Also educational programs on family planning, prenatal education, HIV/AIDS, health, WIC referrals and nutritional counseling. The center provides special financial programs to assist in meeting health care cost and obligations.",N/A,contact@omnifamilyhealth.org
California,"Food Pantries, Rent Payment Assistance, Clothing, Gas Money, Utility Service Payment Assistance, Prescription Expense Assistance, Post Disaster Food Services, , ","Food Pantries, Rent Payment Assistance, Clothing, Gas Money, Utility Service Payment Assistance, Prescription Expense Assistance, Post Disaster Food Services, , ", Taft Necessary Emergency Economic Distict Site,661-763-4888,518 Main StreetTaft,Taft,CA,93268,"Food Pantries, Rent Payment Assistance, Clothing, Gas Money, Utility Service Payment Assistance, Prescription Expense Assistance, Post Disaster Food Services, , ",661-763-4888,N/A,"Low income, Taft resident ","DescriptionProvides food, clothing, telephone access, emergency shelter, prescription assistance, referrals to other agencies, utility and rental assistance when funds are available (to Taft residents only).",N/A,clerkofboard@kerncounty.com
California,"Congregate Meals/Nutrition Sites, Home Delivered Meals, Older Adults, Senior Centers, , ","Congregate Meals/Nutrition Sites, Home Delivered Meals, Older Adults, Senior Centers, , ", Taft Senior Nutrition Program,661-765-6677 ,500 Cascade Place,N/A,CA,93268,"Congregate Meals/Nutrition Sites, Home Delivered Meals, Older Adults, Senior Centers, , ",661-765-6677 ,http://www.wsrpd.com,Senior 60 years or older ,"Description Provides home delivered meals, daily lunch meal, social activities and information clearinghouse services in a congregate setting.",Stephanie House                       Recreation Superintendent                ,info@wsrpd.com
California,"Crisis Intervention Hotlines/Helplines, Cancer, , ","Crisis Intervention Hotlines/Helplines, Cancer, , ", Talk-Line American Cancer Society,661-327-2424,1831 Truxtun Avenue,N/A,CA,93301,"Crisis Intervention Hotlines/Helplines, Cancer, , ",661-327-2424,http://www.cancer.org,Open to the public ,"Description Provides individual crisis intervention, counseling, and cancer information.",Gladys Garcia                                     Director                                          ,gladys.garcia@cancer.org
California,"Youth Violence Prevention, Residential Substance Use Disorder Treatment Facilities, Sober Living Homes, , ","Youth Violence Prevention, Residential Substance Use Disorder Treatment Facilities, Sober Living Homes, , ", Teen Challenge,661-399-2273,301 East Roberts LaneBakersfield,Bakersfield,CA,93308,"Youth Violence Prevention, Residential Substance Use Disorder Treatment Facilities, Sober Living Homes, , ",661-399-2273,http://www.teenchallenge.org,Young adults 18 and older ,"Description	Provides an inpatient, Christian faith based program for at-risk young adults including: counseling, substance abuse program, domestic violence, community outreach, Christian discipleship classes, individual advising sessions, vocational training, basic computer classes, GED certificate courses, gang prevention Project 180 and curriculum designed to help each student re-integrate into society. 	  	 ",Ruben Heredia                                Director                      ,teenchallenge@sbcglobal.net
California,", ",", ", TEEN LINE,310-855-4673,N/A,N/A,N/A,N/A,", ",310-855-4673,http://www.teenlineonline.org,DescriptionConfidential helpline/warmline for youth throughout California and nationwide.,DescriptionConfidential helpline/warmline for youth throughout California and nationwide.,,info@teenlineonline.org
California,", ",", ", Tehachapi Branch Library,N/A,212 South Green StreetTehachapi,Tehachapi,CA,93561,", ",N/A,http://www.kerncountylibrary.org,Open to the public ,"Description	Provides bookmobiles, on-line public catalog, computer orientation classes, interlibrary loan, typewriters and computers for public use, CD-ROM technology databases covering a variety of specialized subjects and complete children's services including story hours and dial-a-story.",N/A,info@kerncountylibrary.org
California,"Nutrition Education, Prenatal Care, Community Clinics, Urgent Care Centers, Childhood Immunization, Gynecology Services, , ","Nutrition Education, Prenatal Care, Community Clinics, Urgent Care Centers, Childhood Immunization, Gynecology Services, , ", Tehachapi Community Health Center,(800) 300-6664,161 North Mill StreetTehachapi,Tehachapi,CA,93561,"Nutrition Education, Prenatal Care, Community Clinics, Urgent Care Centers, Childhood Immunization, Gynecology Services, , ",(800) 300-6664,http://omnifamilyhealth.org/,Open to the public ,"DescriptionProvides medical service, general medicine, obstetrics, pediatrics, immunizations, family planning, drug screening, internal medicine, lab, and educational programs on prenatal education, HIV/AIDS, health, WIC referrals and nutritional counseling. The center provides special financial programs to assist individuals and families in meeting their health care cost and obligations.","Dr.  Wagih Michael, Ph.D.                         Executive Director                                ",N/A
California,", ",", ", Tehachapi Hospital,N/A,115 West E StreetTehachapi,Tehachapi,CA,93561,", ",N/A,http://www.tvhd.org,Open to the public ,"DescriptionProvides a full service hospital with 24-hour emergency services available including: outpatient services of physical therapy, respiratory therapy, x-ray, medical laboratory, podiatry, mammography, ultrasound and rural health clinics specializing in pediatrics and adult medicine.",Alan Burgess                               Chief Executive officer                           ,admin@tvhd.org
California,", ",", ", Tehachapi Humane Society,N/A,21600 Golden Star,Star,CA,93561,", ",N/A,http://www.tehachapihumanesociety.com,Low income pet owners ,"DescriptionProvides animal rescue, adoptions, low cost spay/neuters assistance, educational information, dog and cat food, assistance paying for medical examination, shot clinic, and a teen program learning about animals and how to take care of them.",Sharon Cornelison                                 President                                         ,tehachapihumane@yahoo.com
California,"Pet Food, Neuter/Spay Services, , ","Pet Food, Neuter/Spay Services, , ", Tehachapi Humane Society,N/A,21600 Golden Star,Star,CA,93561,"Pet Food, Neuter/Spay Services, , ",N/A,http://tehachapihumanesociety.com/,Low income pet owners  ,"DescriptionProvides animal rescue, adoptions, low cost spay/neuters assistance, educational information, dog and cat food, assistance paying for medical examination, shot clinic, and a teen program learning about animals and how to take care of them.",Sharon Cornelison                                 President                                         ,tehachapihumane@yahoo.com
California,"Sheriff, Community Crime Prevention Programs, , ","Sheriff, Community Crime Prevention Programs, , ", Tehachapi Police Department ,661-822-2222,220 West C StreetTehachapi,Tehachapi,CA,93561,"Sheriff, Community Crime Prevention Programs, , ",661-822-2222,http://www.liveuptehachapi.com/29/Tehachapi-Police-Department,Open to the public ,"DescriptionProvides law enforcement services to the general public in the city of Tehachapi. Services include: emergency response, calls for service, criminal investigation, traffic enforcement, crime prevention, narcotics enforcement, school resource officers, dare, and gang suppression.",N/A,jkermode@tehachapipd.com
California,"Veteran Education Benefits, Veteran Compensation and Pension Benefits, Veteran Compensation and Pension Benefits, Veteran Survivors Benefits, General Counseling Services, Specialized Information and Referral, Families of Active Military Personnel, , ","Veteran Education Benefits, Veteran Compensation and Pension Benefits, Veteran Compensation and Pension Benefits, Veteran Survivors Benefits, General Counseling Services, Specialized Information and Referral, Families of Active Military Personnel, , ", Tehachapi Readjustment Counseling Services ,N/A,125 East F Street Tehachapi,Tehachapi,CA,93561,"Veteran Education Benefits, Veteran Compensation and Pension Benefits, Veteran Compensation and Pension Benefits, Veteran Survivors Benefits, General Counseling Services, Specialized Information and Referral, Families of Active Military Personnel, , ",N/A,https://www.va.gov,"Survivor of military sexual trauma,  Veterans and their families ","DescriptionProvides information, referrals, and counseling.",,guadalupe.sanchezjr@va.gov
California,"Congregate Meals/Nutrition Sites, , ","Congregate Meals/Nutrition Sites, , ", Tehachapi Senior Nutrition Site,661-822-5412,500 East F StreetTehachapi,Tehachapi,CA,93561,"Congregate Meals/Nutrition Sites, , ",661-822-5412,http://tehachapiseniorcenter.com/,Seniors 60 years and older ,"Description Provides daily noon meals, social activities and information clearinghouse services in a congregate setting.",Luanne Jones                                      Program Coordinator                               (661) 868-0973,FrontDesk@TehachapiSeniorCenter.com
California,"City/County Hospitals, , ","City/County Hospitals, , ", Tehachapi Valley Hospital,661-823-3000,115 West E StreetTehachapi,Tehachapi,CA,93581,"City/County Hospitals, , ",661-823-3000,http://adventisthealth.org,Open to the public ,"DescriptionProvides a full service hospital with 24-hour emergency services available including: outpatient services of physical therapy, respiratory therapy, x-ray, medical laboratory, podiatry, mammography, ultrasound and rural health clinics specializing in pediatrics and adult medicine.","Sam Conklin, M.D.                        President                          ",admin@tvhd.org
California,"Public Parks, Recreational Facilities, , ","Public Parks, Recreational Facilities, , ", Tehachapi Valley Recreation And Parks District,661-822-3228,490 West D StreetTehachapi,Tehachapi,CA,93581,"Public Parks, Recreational Facilities, , ",661-822-3228,https://www.tvrpd.org/,Open to the public ,"DescriptionProgram provides recreational activities, park facilities, community centers, special interest classes, and adult/youth sports programs.",Michelle Vance                                   District Manager                                  661-822-3228 ex 4,N/A
California,", ",", ", TENANTS TOGETHER,N/A,474 Valencia Street,N/A,CA,94103,", ",N/A,http://www.tenantstogether.org,"DescriptionA statewide renters' rights organization, whose mission is to improve the lives of California’s tenants through education, organizing and advocacy.","DescriptionA statewide renters' rights organization, whose mission is to improve the lives of California’s tenants through education, organizing and advocacy.",,info@tenantstogether.org
California,"Sober Living Homes, , ","Sober Living Homes, , ", Terra Lynn House,661-831-1027,2309 San MarinoBakersfield,MarinoBakersfield,CA,93309,"Sober Living Homes, , ",661-831-1027,https://www.facebook.com/pages/Terra-Lynn-House/202453563104649,Adult women ,Description Provides a sober living home for women.,N/A,terralynnshouseofhope@yahoo.com
California,"Pet Food, Animal Shelters, Neuter/Spay Services, Animal Food/Supplies Donation Programs, , ","Pet Food, Animal Shelters, Neuter/Spay Services, Animal Food/Supplies Donation Programs, , ", The Cat People,N/A,4120 East DriveBakersfield,Bakersfield,CA,93308,"Pet Food, Animal Shelters, Neuter/Spay Services, Animal Food/Supplies Donation Programs, , ",N/A,http://thecatpeople.org,Open to the public ,"DescriptionVolunteer based. When funding available:Program provides cat adoptions, cat food pantry, spay and neuter vouchers, cat trap rentals, education and other programs (must call to inquire) Program does not pick up feral cats or kittens due to limited space. At the moment, program is not taking  cats and kittens (except for rare circumstances at this time). ",N/A,MarleenF@TheCatPeople.org
California,", ",", "," THE FAMILY NETWORK, INC (TFN)",N/A,2959 Park Avenue,N/A,CA,95073,", ",N/A,http://www.adopt-familynetwork.com,"DescriptionA nonprofit, licensed adoption agency in the state of California dedicated to finding permanent loving families for children, offering support to birth families and providing educational therapeutic assistance to families affected by adoption or parenting challenges.","DescriptionA nonprofit, licensed adoption agency in the state of California dedicated to finding permanent loving families for children, offering support to birth families and providing educational therapeutic assistance to families affected by adoption or parenting challenges.",,N/A
California,"Soup Kitchens, Homeless Shelter, Holiday Programs, Adult Residential Treatment Facilities, Donation Drop Off Points, , ","Soup Kitchens, Homeless Shelter, Holiday Programs, Adult Residential Treatment Facilities, Donation Drop Off Points, , ", The Mission at Kern County,661-325-0863 ext 214,816 East 21st StreetBakersfield,Bakersfield,CA,93305,"Soup Kitchens, Homeless Shelter, Holiday Programs, Adult Residential Treatment Facilities, Donation Drop Off Points, , ",661-325-0863 ext 214,http://www.themissionkc.org,"Emergency shelter and showers limited to homeless men. Other services available to all.  ","DescriptionProgram provides meals, men's emergency shelter, case management, clothing, education, and 18-month residential addiction recovery program for unaccompanied men, unaccompanied women, and women with children Also provides a cooling center when the temperatures are forecast to be 105 degrees or higher. ",N/A,info@themissionkc.org
California,", ",", ", THROUGH THE LOOKING GLASS,N/A,3075 Adeline Street,N/A,CA,94703,", ",N/A,http://www.lookingglass.org,"Description	A disability community-based nonprofit organization that provides research, training, and services for families in which a child, parent or grandparent has a disability or medical issue.","Description	A disability community-based nonprofit organization that provides research, training, and services for families in which a child, parent or grandparent has a disability or medical issue.",,tlg@lookingglass.org
California,"Tobacco Use Education/Prevention, , ","Tobacco Use Education/Prevention, , ", Tobacco Education Program,661-321-3000,1800 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Tobacco Use Education/Prevention, , ",661-321-3000,http://kernpublichealth.com/smoking-prevention/,Open to the public ,"Description	Provides brochures, educational materials, tobacco presentations in community settings, videos and also assist communities in planning, and implementing tobacco prevention activities, and health fairs.",N/A,publichealth@kerncounty.com
California,"First Offender DUI Programs, Juvenile DUI Programs, Multiple Offender DUI Programs, , ","First Offender DUI Programs, Juvenile DUI Programs, Multiple Offender DUI Programs, , ", Traffic and Alcohol Awareness School of Kern,661-322-8862,525 Bear Mountain BoulevardArvin,Arvin,CA,93203,"First Offender DUI Programs, Juvenile DUI Programs, Multiple Offender DUI Programs, , ",661-322-8862,http://taaskinc.com/Index.aspx?lp=LocationsContentArvin,Adults involved in an alcohol or drug related traffic offense ,Description Provides court or Department of Motor Vehicles ordered alcohol or substance abuse education.,Jim McManus                                       Director                                          ,taask@yahoo.com
California,"First Offender DUI Programs, Multiple Offender DUI Programs, , ","First Offender DUI Programs, Multiple Offender DUI Programs, , ", Traffic and Alcohol Awareness School of Kern,661-322-8862,324 Oak Street,N/A,CA,93304,"First Offender DUI Programs, Multiple Offender DUI Programs, , ",661-322-8862,http://www.taaskinc.com,Adults convicted of a drug or alcohol offense ,DescriptionProvides court or Department of Motor Vehicles ordered alcohol or substance abuse education.,N/A,taask@yahoo.com
California,"First Offender DUI Programs, Multiple Offender DUI Programs, , ","First Offender DUI Programs, Multiple Offender DUI Programs, , ", Traffic and Alcohol Awareness School of Kern,661-322-8862,1427 S. LEXINGTON ST BLDG A #11Delano,Delano,CA,93215,"First Offender DUI Programs, Multiple Offender DUI Programs, , ",661-322-8862,http://www.taaskinc.com,Adults convicted of an alcohol or drug related traffic offense ,DescriptionProvides court or Department of Motor Vehicles ordered alcohol or substance abuse education.,N/A,taask@yahoo.com
California,", ",", ", Traffic and Alcohol Awareness School of Kern,N/A,324 Oak Street,N/A,CA,93304,", ",N/A,http://www.taaskinc.com,Adults convicted of a drug or alcohol traffic offense ,DescriptionProvides court or Department of Motor Vehicles ordered alcohol or substance abuse education.,Jim McManus                                       Director                                          ,taask@yahoo.com
California,"Occupation Specific Job Training, , ","Occupation Specific Job Training, , ", Training Advanced Institution Pest Technology,661-392-1600,915 34th StreetBakersfield,Bakersfield,CA,93301,"Occupation Specific Job Training, , ",661-392-1600,http://www.oxleypest.com,Open to the public ,"Description	Provides a one day training course for agricultural pest control including: basic knowledge, practical training for future employment, and continuing education classes.",David Oxley                                       Owner/ Operator/ Instructor                       ,N/A
California,"Social Skills Training, Developmental Disabilities, General Recreational Activities/Sports, , ","Social Skills Training, Developmental Disabilities, General Recreational Activities/Sports, , ", Training and Participation for Social Skill Building,661-322-9735,4032 Jewett AvenueBakersfield,Bakersfield,CA,93301,"Social Skills Training, Developmental Disabilities, General Recreational Activities/Sports, , ",661-322-9735,http://napd-bak.org,3-17 Must be a client of Kern Regional Center ,"Description Provides an after school social training program for children with developmental disabilities offering a variety of activities such as, community field trips, sports, recreational outings, and club meetings (i.e. girl scouts, boy scouts).",Susan Carpenter                                   Program Director                             661-322-9738,N/A
California,"Local Bus Services, , ","Local Bus Services, , ", Transit District - City of Shafter ,661-746-5001,336 Pacific AvenueShafter,Shafter,CA,93263,"Local Bus Services, , ",661-746-5001,https://www.shafter.com/148/Transit,Open to the public ,"Description	Provides a public transit system.",N/A,N/A
California,", ",", "," Transit District, City of Shafter",661-746-2955,336 Pacific AvenueShafter,Shafter,CA,93263,", ",661-746-2955,https://www.shafter.com/148/Transit,Open to the public ,"Description	Provides a public transit system.",Jim ZervisAdministrative Services Director,jzervis@shafter.com
California,", ",", ", Transitional Living Homes,N/A,527 Niles StreetBakersfield,Bakersfield,CA,93305,", ",N/A,http://www.KCDHS.org,Adult men and women ,DescriptionProvides a court approved sober living home for men and women.,Lynn Huckaby                                      Director                                          661-304-8947,N/A
California,"Paratransit Programs, Developmental Disabilities, , ","Paratransit Programs, Developmental Disabilities, , ", Transportation Department,661-322-6542,3720 N. Sillect AveBakersfield,AveBakersfield,CA,93308,"Paratransit Programs, Developmental Disabilities, , ",661-322-6542,http://www.napd-bak.org/,Kern Regional Center client and disabled adults and children ,"Description	Provides transportation for disabled children and adults to and from New Advances for People with Disabilities community activities and field trips.",Jeniffer Briseno                            Transportation Coordinator                    ,N/A
California,"Paratransit Programs, Older Adults, , ","Paratransit Programs, Older Adults, , ", Transportation Service,N/A,131 East 1st StreetButtonwillow,Willow,CA,93206,"Paratransit Programs, Older Adults, , ",N/A,https://greatnonprofits.org/org/pioneer-senior-citizens-of-buttonwillow-inc,Residents of Buttonwillow ,"Description	Provides a community bus service twice a week that travels from Buttonwillow to Bakersfield. Stops include various doctor's offices, the Valley Plaza, and grocery stores.",N/A,N/A
California,", ",", ", TREVOR PROJECT,N/A,N/A,N/A,N/A,N/A,", ",N/A,http://www.thetrevorproject.org,"DescriptionNational organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) young people.","DescriptionNational organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) young people.",,info@thetrevorproject.org
California,"General Dentistry, , ","General Dentistry, , "," Troy V. Kelly, DDS",661-872-2672,1209 Columbus AvenueBakersfield,Bakersfield,CA,93305,"General Dentistry, , ",661-872-2672,https://www.dentistry.com/dentist/dr-troy-kelly-bakersfield/,"Open to the public, low income ",Description Provides general and pediatric dentistry.,Troy V. Kelly                                     Dentist                                           ,N/A
California,", ",", ", Turning Point Kennemer Residential Center,N/A,1100 Union AvenueBakersfield,Bakersfield,CA,93307,", ",N/A,http://www.tpocc.org,"Open to adult men, women, and parolees  ","DescriptionProvides a residential substance abuse treatment center including: individual and family counseling, mental health services, job placement, medical and dental services, legal assistance, vocational evaluation and counseling, recreational activities, bible studies and Christian counseling.",Patricia Smith                             Program Director                                  661-861-6111 Ext 17,info@tpocc.org
California,"Sober Living Homes, , ","Sober Living Homes, , ", Turning Point Kennemer Residential Center,661-861-6111,1100 Union AvenueBakersfield,Bakersfield,CA,93307,"Sober Living Homes, , ",661-861-6111,http://www.tpocc.org,"Open to adult men, women, and parolees  ","Description Provides a residential substance abuse treatment center including: individual and family counseling, mental health services, job placement, medical and dental services, legal assistance, vocational evaluation and counseling, recreational activities, bible studies and Christian counseling.",Patricia Smith                                    Program Director                                 ,info@tpocc.org
California,"Food Pantries, Prescription Drug Discount Cards, , ","Food Pantries, Prescription Drug Discount Cards, , ", Twin Oaks,N/A,15840 Caliente Creek RoadCaliente,Caliente,CA,93518,"Food Pantries, Prescription Drug Discount Cards, , ",N/A,http://www.capk.org/,Open to the Public ,"Description	Offers a food distribution.	 ",N/A,info@capk.org
California,"Food Pantries, General Counseling Services, Substance Use Disorder Counseling, , ","Food Pantries, General Counseling Services, Substance Use Disorder Counseling, , ", United Church of Christ,N/A,21001 Conklin BoulevardCalifornia City,City,CA,93505,"Food Pantries, General Counseling Services, Substance Use Disorder Counseling, , ",N/A,http://www.ucc.org,Services available up to 4 times a year and must be 90 days apart ,"Description Offers a food pantry and pastoral counseling for substance abuse, HIV/AIDS, marriage, and family.",Ron Sparks                                 Pastor                                            ,robk@ccis.com
#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,", ",", ", United Church of Christ,760-373-2870,21001 Conklin BoulevardCalifornia City,City,CA,93505,", ",760-373-2870,http://www.ccis.com/home/robk/ccucc,Services Available Up To 4 Times A Year And Must Be 90 Days Apart ,"DescriptionOffers a food pantry and pastoral counseling for substance abuse, HIV/AIDS, marriage, and family.",Ronald A. Sparks Pastor                                            760-373-2346,robk@ccis.com
California,", ",", ", United Farm Workers,661-823-6151,238 18th Street,N/A,CA,93301,", ",661-823-6151,http://www.ufw.org/,Farm workers  ,"DescriptionProvides advocacy, legal services, farm worker education, a legal defense fund, and youth activism.",Arturo S. RodrÃ­guez                             President                                         ,info@ufwfoundation.org
California,", ",", ", UNITED POLICYHOLDERS,N/A,381 Bush Street,N/A,CA,94104,", ",N/A,http://uphelp.org,"DescriptionNonprofit agency which offers advocacy and information to insurance consumers, especially during a disaster or emergency crisis.","DescriptionNonprofit agency which offers advocacy and information to insurance consumers, especially during a disaster or emergency crisis.",,info@uphelp.org
California,", ",", ", UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,N/A,255 East Temple Street,N/A,CA,90012,", ",N/A,http://www.eeoc.gov,DescriptionFederal agency responsible for enforcing federal laws that make it illegal to discriminate against a job applicant or an employee.,DescriptionFederal agency responsible for enforcing federal laws that make it illegal to discriminate against a job applicant or an employee.,,info@eeoc.gov
California,", ",", ", United States Postal Service ,800-275-8777,3400 Pegasus DriveBakersfield,Bakersfield,CA,93308,", ",800-275-8777,http://www.usps.com,Open to the public ,"DescriptionProvides customers with their mailing and information needs including: business reply mail, new permits, general delivery, global express, money orders, P.O. boxes, online services, pickup accountable mail, hold mail, and priority mail international.",Art Ornales                                       Post Master                                       ,postalone@email.usps.gov
California,"Post Offices, , ","Post Offices, , ", United States Postal Service - Boron,760-762-5184,26990 Anderson StreetBoron,Boron,CA,93516,"Post Offices, , ",760-762-5184,http://www.usps.com,Open to the public ,"Description Provides customers with their mailing and information needs including: business reply mail, new permits, general delivery, global express, money orders, P.O. boxes, online services, pickup accountable mail, hold mail, and priority mail international.  ",,uspstechnicalsupport@mailps.custhelp.com
California,"Post Offices, , ","Post Offices, , ", United States Postal Service - Buttonwillow,661-764-5460,121 North Main StreetButtonwillow,Willow,CA,93206,"Post Offices, , ",661-764-5460,http://www.usps.com,Open to the public ,"DescriptionProvides customers with their mailing and information needs including: business reply mail, new permits, general delivery, global express, money orders, P.O. boxes, online services, pickup accountable mail, hold mail, and priority mail international.",,uspstechnicalsupport@mailps.custhelp.com
California,"Post Offices, , ","Post Offices, , ", United States Postal Service - California City,760-373-8113,21100 Hacienda BoulevardCalifornia City,City,CA,93505,"Post Offices, , ",760-373-8113,http://www.usps.com,Open to the public ,"DescriptionProvides customers with their mailing and information needs including: business reply mail, new permits, general delivery, global express, money orders, P.O. boxes, online services, pickup accountable mail, hold mail, and priority mail international.",,uspstechnicalsupport@mailps.custhelp.com
